TrueClass,PredictedClass,Discriminants
Kecimen,Kecimen,"{'Besni': -2.7686496402399197, 'Kecimen': -1.5953064642988277}"
Kecimen,Kecimen,"{'Besni': -2.8843591089474296, 'Kecimen': -1.734548661634692}"
Kecimen,Besni,"{'Besni': -0.9293402929190351, 'Kecimen': -1.762342602336319}"
Kecimen,Kecimen,"{'Besni': -2.2479741626079637, 'Kecimen': -0.808180290765507}"
Kecimen,Kecimen,"{'Besni': -4.195042693773146, 'Kecimen': -1.5856446831803233}"
Kecimen,Kecimen,"{'Besni': -6.552125259027238, 'Kecimen': -2.8406694812758992}"
Kecimen,Kecimen,"{'Besni': -9.391720080345348, 'Kecimen': -5.159019462386267}"
Kecimen,Besni,"{'Besni': -2.836229008076417, 'Kecimen': -3.005155198182342}"
Kecimen,Kecimen,"{'Besni': -9.034760029034397, 'Kecimen': -3.452207488903441}"
Kecimen,Kecimen,"{'Besni': -2.6004842996409137, 'Kecimen': -1.9557951365425983}"
Kecimen,Kecimen,"{'Besni': -4.501486529145756, 'Kecimen': -0.8945004889685835}"
Kecimen,Kecimen,"{'Besni': -1.795632367586621, 'Kecimen': -0.5400109526717324}"
Kecimen,Kecimen,"{'Besni': -1.5715977497526241, 'Kecimen': -1.0201434771779245}"
Kecimen,Kecimen,"{'Besni': -2.4533266549367596, 'Kecimen': -0.08158428960557101}"
Kecimen,Kecimen,"{'Besni': -3.135523501486295, 'Kecimen': -1.7828983568249277}"
Kecimen,Kecimen,"{'Besni': -6.35679094068599, 'Kecimen': -5.59804245832174}"
Kecimen,Kecimen,"{'Besni': -4.482069143183111, 'Kecimen': -1.3602361226990196}"
Kecimen,Kecimen,"{'Besni': -3.685782245527765, 'Kecimen': -1.1546055768219472}"
Kecimen,Kecimen,"{'Besni': -8.72408718318184, 'Kecimen': -3.9879551233165023}"
Kecimen,Kecimen,"{'Besni': -3.3098813402341705, 'Kecimen': -1.091884770388438}"
Kecimen,Kecimen,"{'Besni': -6.085896777339514, 'Kecimen': -3.324568443093744}"
Kecimen,Kecimen,"{'Besni': -4.4528966715431935, 'Kecimen': -1.5779090447749233}"
Kecimen,Kecimen,"{'Besni': -9.575578199291352, 'Kecimen': -4.850153520480113}"
Kecimen,Kecimen,"{'Besni': -3.1355819411800905, 'Kecimen': -1.3151666169986036}"
Kecimen,Kecimen,"{'Besni': -6.483887492443184, 'Kecimen': -2.574913119836465}"
Kecimen,Kecimen,"{'Besni': -20.530815468802366, 'Kecimen': -14.914452025985982}"
Kecimen,Kecimen,"{'Besni': -8.503198004606844, 'Kecimen': -3.1436673838264664}"
Kecimen,Kecimen,"{'Besni': -6.846109521191709, 'Kecimen': -3.1526387365219133}"
Kecimen,Kecimen,"{'Besni': -3.187988816604685, 'Kecimen': -0.2226691830844848}"
Kecimen,Kecimen,"{'Besni': -2.645475275023357, 'Kecimen': -1.3600018963425922}"
Kecimen,Kecimen,"{'Besni': -3.248427742754974, 'Kecimen': -0.1625217401385053}"
Kecimen,Kecimen,"{'Besni': -6.786810558385977, 'Kecimen': -2.141454282666478}"
Kecimen,Kecimen,"{'Besni': -1.4635322162785895, 'Kecimen': -0.45397574518588196}"
Kecimen,Kecimen,"{'Besni': -2.3933889326829743, 'Kecimen': -0.5348356483090773}"
Kecimen,Kecimen,"{'Besni': -9.674058536372433, 'Kecimen': -4.43139154543905}"
Kecimen,Kecimen,"{'Besni': -2.0146599280007766, 'Kecimen': -0.8119632592785719}"
Kecimen,Kecimen,"{'Besni': -3.754895090251193, 'Kecimen': -1.321842585849239}"
Kecimen,Kecimen,"{'Besni': -2.794494016398195, 'Kecimen': -0.5156323912165521}"
Kecimen,Kecimen,"{'Besni': -1.6055991362050088, 'Kecimen': -0.9495072291698787}"
Kecimen,Kecimen,"{'Besni': -2.8856368130916077, 'Kecimen': -1.6322118379003316}"
Kecimen,Kecimen,"{'Besni': -2.990063427974609, 'Kecimen': -0.9057542109795541}"
Kecimen,Kecimen,"{'Besni': -4.340446627428173, 'Kecimen': -2.709031609936203}"
Kecimen,Kecimen,"{'Besni': -2.774848776945049, 'Kecimen': -0.1840653442164556}"
Kecimen,Kecimen,"{'Besni': -7.7015256930446565, 'Kecimen': -5.6030676273702635}"
Kecimen,Kecimen,"{'Besni': -6.945247723654516, 'Kecimen': -4.613035719713672}"
Kecimen,Kecimen,"{'Besni': -2.923314058271785, 'Kecimen': -1.5469627943841149}"
Kecimen,Besni,"{'Besni': -1.0181117836325142, 'Kecimen': -1.9527727631519927}"
Kecimen,Besni,"{'Besni': -1.081102225891402, 'Kecimen': -1.4221236777998096}"
Kecimen,Kecimen,"{'Besni': -5.516214540566359, 'Kecimen': -2.7963390163234614}"
Kecimen,Kecimen,"{'Besni': -7.148970379626892, 'Kecimen': -2.1971023761949855}"
Kecimen,Besni,"{'Besni': -1.6727736810115994, 'Kecimen': -2.3852658834925897}"
Kecimen,Kecimen,"{'Besni': -3.7827843725360637, 'Kecimen': -1.6093786857548997}"
Kecimen,Kecimen,"{'Besni': -2.9481193870135343, 'Kecimen': -1.6047910107035357}"
Kecimen,Kecimen,"{'Besni': -2.4712513606638904, 'Kecimen': -0.497154397325551}"
Kecimen,Besni,"{'Besni': -1.3219999763426427, 'Kecimen': -1.452419917192774}"
Kecimen,Kecimen,"{'Besni': -5.1823260042841195, 'Kecimen': -1.7091675629467895}"
Kecimen,Kecimen,"{'Besni': -2.00977920069536, 'Kecimen': -0.42279855101248087}"
Kecimen,Besni,"{'Besni': -1.0325313496987314, 'Kecimen': -1.4072482359538212}"
Kecimen,Besni,"{'Besni': -1.613638334766343, 'Kecimen': -2.0693793686889994}"
Kecimen,Kecimen,"{'Besni': -5.068010296940123, 'Kecimen': -1.2954398252292552}"
Kecimen,Kecimen,"{'Besni': -1.9385489023351354, 'Kecimen': -1.488138716857578}"
Kecimen,Kecimen,"{'Besni': -7.818703266186817, 'Kecimen': -2.636671994044483}"
Kecimen,Kecimen,"{'Besni': -3.937152942321341, 'Kecimen': -1.4861324489799577}"
Kecimen,Kecimen,"{'Besni': -2.571972642038234, 'Kecimen': -1.1015295767057436}"
Kecimen,Kecimen,"{'Besni': -2.099652436232537, 'Kecimen': -0.6482522589811234}"
Kecimen,Kecimen,"{'Besni': -15.607164156466059, 'Kecimen': -10.646703243868535}"
Kecimen,Kecimen,"{'Besni': -2.2802921024499168, 'Kecimen': -1.4622059240236627}"
Kecimen,Kecimen,"{'Besni': -1.0985302769734744, 'Kecimen': -0.7483177864663295}"
Kecimen,Kecimen,"{'Besni': -2.3010700507298303, 'Kecimen': -0.7029086948254805}"
Kecimen,Kecimen,"{'Besni': -4.2334202757334864, 'Kecimen': -2.3639626572349837}"
Kecimen,Kecimen,"{'Besni': -6.561959073189373, 'Kecimen': -1.7947219348414847}"
Kecimen,Kecimen,"{'Besni': -3.152692563297876, 'Kecimen': -1.2003964468795554}"
Kecimen,Besni,"{'Besni': -2.059661483462246, 'Kecimen': -2.631557336323217}"
Kecimen,Kecimen,"{'Besni': -3.5948904193194995, 'Kecimen': -1.3745767868087164}"
Kecimen,Kecimen,"{'Besni': -4.834155516474088, 'Kecimen': -0.7534807177370505}"
Kecimen,Kecimen,"{'Besni': -3.7388637458771887, 'Kecimen': -1.111373779395195}"
Kecimen,Kecimen,"{'Besni': -3.909820476036222, 'Kecimen': -0.45946315996209663}"
Kecimen,Kecimen,"{'Besni': -2.696957024208264, 'Kecimen': -1.6461479207573602}"
Kecimen,Kecimen,"{'Besni': -2.455082356373056, 'Kecimen': -0.21722584460495922}"
Kecimen,Kecimen,"{'Besni': -11.171242014489192, 'Kecimen': -5.676694941599654}"
Kecimen,Kecimen,"{'Besni': -2.7853187592359214, 'Kecimen': -0.7763361272641407}"
Kecimen,Kecimen,"{'Besni': -8.24192764792773, 'Kecimen': -6.095727714853098}"
Kecimen,Kecimen,"{'Besni': -2.6323324168114097, 'Kecimen': -2.5446831439932502}"
Kecimen,Kecimen,"{'Besni': -2.441644786989924, 'Kecimen': -0.7123443451110394}"
Kecimen,Kecimen,"{'Besni': -5.876159978805999, 'Kecimen': -3.4271006225669023}"
Kecimen,Kecimen,"{'Besni': -3.7359971964779266, 'Kecimen': -2.0764061768899333}"
Kecimen,Kecimen,"{'Besni': -7.94216852595229, 'Kecimen': -2.7363591254833937}"
Kecimen,Kecimen,"{'Besni': -4.782844126231534, 'Kecimen': -3.1845380877184706}"
Kecimen,Kecimen,"{'Besni': -1.5931795678005622, 'Kecimen': -1.4566524076790026}"
Kecimen,Kecimen,"{'Besni': -1.2980703369710551, 'Kecimen': -1.05524249254161}"
Kecimen,Kecimen,"{'Besni': -12.786998993853764, 'Kecimen': -7.758686584760193}"
Kecimen,Kecimen,"{'Besni': -14.629564015761403, 'Kecimen': -8.85458059794901}"
Kecimen,Kecimen,"{'Besni': -1.9186759939449445, 'Kecimen': -0.269927783686924}"
Kecimen,Kecimen,"{'Besni': -1.6514140588089212, 'Kecimen': -0.7412096266707746}"
Kecimen,Kecimen,"{'Besni': -4.914394886385981, 'Kecimen': -0.8772713574526324}"
Kecimen,Kecimen,"{'Besni': -2.816289071079089, 'Kecimen': -1.9345091265269032}"
Kecimen,Kecimen,"{'Besni': -1.9446801746357627, 'Kecimen': -1.863401807238016}"
Kecimen,Kecimen,"{'Besni': -2.8654040183424208, 'Kecimen': -2.1038902753721276}"
Kecimen,Kecimen,"{'Besni': -3.5385720949619723, 'Kecimen': -2.5486346367142763}"
Kecimen,Kecimen,"{'Besni': -3.493831580623872, 'Kecimen': -1.1630299881249835}"
Kecimen,Kecimen,"{'Besni': -1.7567681820819767, 'Kecimen': -1.4499496912750414}"
Kecimen,Kecimen,"{'Besni': -3.4861196087214426, 'Kecimen': -0.7026296037830286}"
Kecimen,Kecimen,"{'Besni': -1.6283951434895236, 'Kecimen': -1.4794065321681977}"
Kecimen,Besni,"{'Besni': -0.624715587196591, 'Kecimen': -1.4127616921740822}"
Kecimen,Kecimen,"{'Besni': -11.258549149948596, 'Kecimen': -6.050591803952339}"
Kecimen,Kecimen,"{'Besni': -1.8578057093178773, 'Kecimen': -1.7644561633632665}"
Kecimen,Kecimen,"{'Besni': -1.7108640790721867, 'Kecimen': -1.3825724447760115}"
Kecimen,Besni,"{'Besni': -1.2200329735782296, 'Kecimen': -2.0214666210259855}"
Kecimen,Kecimen,"{'Besni': -3.481842956053338, 'Kecimen': -0.960584266199707}"
Kecimen,Kecimen,"{'Besni': -4.042745980810804, 'Kecimen': -1.3565010613388966}"
Kecimen,Kecimen,"{'Besni': -8.650114217736501, 'Kecimen': -4.602995715203784}"
Kecimen,Kecimen,"{'Besni': -4.584028638415601, 'Kecimen': -1.930613416232664}"
Kecimen,Besni,"{'Besni': -1.590442912149153, 'Kecimen': -1.8298768577551066}"
Kecimen,Kecimen,"{'Besni': -2.223840618310419, 'Kecimen': -1.2831261934168428}"
Kecimen,Kecimen,"{'Besni': -3.49336072807131, 'Kecimen': -0.7870496609456173}"
Kecimen,Kecimen,"{'Besni': -3.508860724455536, 'Kecimen': -1.0622719299900114}"
Kecimen,Kecimen,"{'Besni': -1.926313251899197, 'Kecimen': -0.9467089193994647}"
Kecimen,Besni,"{'Besni': -1.5910231075851797, 'Kecimen': -1.6601031519777043}"
Kecimen,Besni,"{'Besni': -1.393912724962089, 'Kecimen': -2.1020301447304317}"
Kecimen,Kecimen,"{'Besni': -2.1716509303141027, 'Kecimen': -0.42358074455460026}"
Kecimen,Kecimen,"{'Besni': -2.7615956478214407, 'Kecimen': -1.6676683018742295}"
Kecimen,Kecimen,"{'Besni': -2.67608666045928, 'Kecimen': -0.3659774923594587}"
Kecimen,Kecimen,"{'Besni': -3.8100256338208913, 'Kecimen': -0.9329173648501652}"
Kecimen,Kecimen,"{'Besni': -8.729651455292027, 'Kecimen': -3.716140680458247}"
Kecimen,Kecimen,"{'Besni': -3.661390643265646, 'Kecimen': -0.7276196921028825}"
Kecimen,Kecimen,"{'Besni': -12.051312997916924, 'Kecimen': -6.18152600266735}"
Kecimen,Kecimen,"{'Besni': -4.887828254392238, 'Kecimen': -1.664003163114687}"
Kecimen,Kecimen,"{'Besni': -1.8185437069373798, 'Kecimen': -0.6720149559817755}"
Kecimen,Kecimen,"{'Besni': -1.8059807060251085, 'Kecimen': -1.267653914985285}"
Kecimen,Kecimen,"{'Besni': -7.051770814753773, 'Kecimen': -4.6870184140887385}"
Kecimen,Besni,"{'Besni': -3.791455297151587, 'Kecimen': -3.915393950269899}"
Kecimen,Kecimen,"{'Besni': -10.376527805555943, 'Kecimen': -4.264417248795638}"
Kecimen,Kecimen,"{'Besni': -7.15983478263999, 'Kecimen': -2.2258244260051097}"
Kecimen,Kecimen,"{'Besni': -7.128035201488327, 'Kecimen': -2.194694815933744}"
Kecimen,Kecimen,"{'Besni': -3.27929394745958, 'Kecimen': -2.2828711382039604}"
Kecimen,Kecimen,"{'Besni': -3.380347653552695, 'Kecimen': -0.9989428451859723}"
Kecimen,Kecimen,"{'Besni': -7.100705703447197, 'Kecimen': -2.1543509974298574}"
Kecimen,Kecimen,"{'Besni': -5.260157000715761, 'Kecimen': -1.992215804402858}"
Kecimen,Kecimen,"{'Besni': -2.7130643628726707, 'Kecimen': -0.47144611053815966}"
Kecimen,Kecimen,"{'Besni': -3.1779050145381778, 'Kecimen': -0.8747175842054749}"
Kecimen,Kecimen,"{'Besni': -2.609637686979603, 'Kecimen': -0.834112481092014}"
Kecimen,Kecimen,"{'Besni': -2.8463458401324333, 'Kecimen': -1.2695316049931333}"
Kecimen,Kecimen,"{'Besni': -1.603241257005961, 'Kecimen': -1.0726158944205122}"
Kecimen,Kecimen,"{'Besni': -2.734897024518145, 'Kecimen': -1.8990623480211373}"
Kecimen,Kecimen,"{'Besni': -15.751992659030645, 'Kecimen': -9.727720889837201}"
Kecimen,Kecimen,"{'Besni': -1.3378647029725688, 'Kecimen': -0.8405810277938531}"
Kecimen,Besni,"{'Besni': -0.9658092832009699, 'Kecimen': -1.2811089010069336}"
Kecimen,Besni,"{'Besni': -1.7213905660246285, 'Kecimen': -2.005119318963883}"
Kecimen,Kecimen,"{'Besni': -6.592544013462462, 'Kecimen': -5.8843867807410835}"
Kecimen,Kecimen,"{'Besni': -4.0635213803605605, 'Kecimen': -0.44318403785567706}"
Kecimen,Kecimen,"{'Besni': -2.6017975292853226, 'Kecimen': -0.41922575420044583}"
Kecimen,Kecimen,"{'Besni': -2.960978202285797, 'Kecimen': -0.9655896613586101}"
Kecimen,Kecimen,"{'Besni': -1.581196749712265, 'Kecimen': -1.508854702466729}"
Kecimen,Kecimen,"{'Besni': -1.7947492718281581, 'Kecimen': -0.8833207217315641}"
Kecimen,Kecimen,"{'Besni': -4.046838000118175, 'Kecimen': -1.927695325329117}"
Kecimen,Besni,"{'Besni': -2.038470406771114, 'Kecimen': -2.415905355852378}"
Kecimen,Kecimen,"{'Besni': -3.051641124732173, 'Kecimen': -3.0375874762309847}"
Kecimen,Kecimen,"{'Besni': -5.271268792722145, 'Kecimen': -4.767727247678994}"
Kecimen,Kecimen,"{'Besni': -9.816640674094073, 'Kecimen': -4.645162675845553}"
Besni,Besni,"{'Besni': -6.879915792955329, 'Kecimen': -12.329971955506746}"
Besni,Besni,"{'Besni': -1.5214236830354315, 'Kecimen': -4.863652258004578}"
Besni,Besni,"{'Besni': -1.2316386443983887, 'Kecimen': -3.5080251339713415}"
Besni,Besni,"{'Besni': -1.1815258614874415, 'Kecimen': -1.6646028125795276}"
Besni,Kecimen,"{'Besni': -3.0117807986115084, 'Kecimen': -2.8262382400944843}"
Besni,Besni,"{'Besni': -2.3878247738090677, 'Kecimen': -5.289453652507385}"
Besni,Besni,"{'Besni': -2.3534897409172655, 'Kecimen': -6.273689099043719}"
Besni,Besni,"{'Besni': -1.7982321306785176, 'Kecimen': -4.948474289641869}"
Besni,Besni,"{'Besni': -8.373326440142215, 'Kecimen': -9.472433833633408}"
Besni,Besni,"{'Besni': -8.741072316093161, 'Kecimen': -12.180359205517}"
Besni,Besni,"{'Besni': -1.0935686336827544, 'Kecimen': -3.587958706305029}"
Besni,Besni,"{'Besni': -8.123710115555356, 'Kecimen': -10.829541264565165}"
Besni,Besni,"{'Besni': -11.18917677320367, 'Kecimen': -15.975183589453518}"
Besni,Kecimen,"{'Besni': -10.227279410067355, 'Kecimen': -6.568915237965191}"
Besni,Besni,"{'Besni': -5.4882365140137415, 'Kecimen': -10.310321626076158}"
Besni,Kecimen,"{'Besni': -1.7216361384381837, 'Kecimen': -0.9174711955782947}"
Besni,Besni,"{'Besni': -6.277796672722536, 'Kecimen': -10.697576516457302}"
Besni,Besni,"{'Besni': -9.14106647187261, 'Kecimen': -14.119013765771829}"
Besni,Besni,"{'Besni': -3.0029860225586207, 'Kecimen': -7.991002468801392}"
Besni,Besni,"{'Besni': -10.785151898051293, 'Kecimen': -17.208791623781202}"
Besni,Kecimen,"{'Besni': -1.8424350703124026, 'Kecimen': -1.459869808513706}"
Besni,Besni,"{'Besni': -2.5971210884105655, 'Kecimen': -3.5385892158864847}"
Besni,Besni,"{'Besni': -0.38947560695571753, 'Kecimen': -2.129631844560053}"
Besni,Besni,"{'Besni': -2.9767078226078847, 'Kecimen': -7.710535854006498}"
Besni,Besni,"{'Besni': -0.8482914958306451, 'Kecimen': -1.8871057969852605}"
Besni,Besni,"{'Besni': -4.777441734743212, 'Kecimen': -9.0327614486402}"
Besni,Besni,"{'Besni': -0.6829376472052976, 'Kecimen': -3.840443396818597}"
Besni,Besni,"{'Besni': -2.0037039987548955, 'Kecimen': -3.4631025570158838}"
Besni,Besni,"{'Besni': -3.3326680013785426, 'Kecimen': -6.871254565616295}"
Besni,Besni,"{'Besni': -23.336214804149776, 'Kecimen': -26.327764063915854}"
Besni,Besni,"{'Besni': -3.086179901959486, 'Kecimen': -7.574175956260783}"
Besni,Kecimen,"{'Besni': -2.4950932571750104, 'Kecimen': -1.56528134400121}"
Besni,Besni,"{'Besni': -1.1655547773325607, 'Kecimen': -2.9612692027479777}"
Besni,Kecimen,"{'Besni': -9.335692139364676, 'Kecimen': -8.356313972237563}"
Besni,Besni,"{'Besni': -6.697218668351124, 'Kecimen': -10.943932280683299}"
Besni,Besni,"{'Besni': -0.8933722145085861, 'Kecimen': -1.7134397970885105}"
Besni,Besni,"{'Besni': -1.223233176040314, 'Kecimen': -2.76073383533049}"
Besni,Besni,"{'Besni': -148.77443487259455, 'Kecimen': -152.07662938462755}"
Besni,Besni,"{'Besni': -3.3815701224275734, 'Kecimen': -5.402530520739601}"
Besni,Besni,"{'Besni': -1.8563972437097092, 'Kecimen': -3.427733237243862}"
Besni,Besni,"{'Besni': -9.365641483931771, 'Kecimen': -11.649766085932667}"
Besni,Besni,"{'Besni': -0.8565998660931924, 'Kecimen': -1.2232931340894246}"
Besni,Besni,"{'Besni': -0.8738330983634239, 'Kecimen': -2.4215330970328104}"
Besni,Besni,"{'Besni': -1.143915344801409, 'Kecimen': -1.1901012657189582}"
Besni,Besni,"{'Besni': -1.665044929685159, 'Kecimen': -2.0485254278396376}"
Besni,Besni,"{'Besni': -0.8026675391157383, 'Kecimen': -4.679330584135654}"
Besni,Besni,"{'Besni': -2.069663154047539, 'Kecimen': -5.110387396473282}"
Besni,Besni,"{'Besni': -0.8960029096137552, 'Kecimen': -1.2671462127844095}"
Besni,Besni,"{'Besni': -9.168037819791174, 'Kecimen': -12.162718604053214}"
Besni,Besni,"{'Besni': -0.8494373642413822, 'Kecimen': -2.9431508600023695}"
Besni,Besni,"{'Besni': -9.055610504109481, 'Kecimen': -9.76785134615883}"
Besni,Besni,"{'Besni': -3.7089569091506167, 'Kecimen': -8.688358473997447}"
Besni,Kecimen,"{'Besni': -1.6879260783813481, 'Kecimen': -1.4224727547759835}"
Besni,Besni,"{'Besni': -1.4014326651994866, 'Kecimen': -5.509807586318367}"
Besni,Besni,"{'Besni': -4.904573245098213, 'Kecimen': -7.675518358578884}"
Besni,Besni,"{'Besni': -3.3039862266401645, 'Kecimen': -6.085656840306846}"
Besni,Besni,"{'Besni': -85.59728741527675, 'Kecimen': -90.39817033796527}"
Besni,Besni,"{'Besni': -12.075736463712357, 'Kecimen': -15.552519724443052}"
Besni,Besni,"{'Besni': -7.552788215260684, 'Kecimen': -12.780491315535844}"
Besni,Besni,"{'Besni': -11.911495640715597, 'Kecimen': -19.179334240703028}"
Besni,Besni,"{'Besni': -3.1090554991878507, 'Kecimen': -4.807305219472077}"
Besni,Besni,"{'Besni': -2.7697058519901034, 'Kecimen': -5.0549720773251385}"
Besni,Besni,"{'Besni': -1.4128559944031656, 'Kecimen': -2.7465432781385344}"
Besni,Besni,"{'Besni': -1.4340814660039944, 'Kecimen': -3.002149496111557}"
Besni,Besni,"{'Besni': -3.0333125544382167, 'Kecimen': -6.954731990448516}"
Besni,Besni,"{'Besni': -6.5358541412663325, 'Kecimen': -10.737098674332364}"
Besni,Besni,"{'Besni': -9.712942404794225, 'Kecimen': -15.01595744929308}"
Besni,Besni,"{'Besni': -0.5108872440472835, 'Kecimen': -1.992311828392045}"
Besni,Besni,"{'Besni': -3.0042684277274936, 'Kecimen': -3.3782340636123855}"
Besni,Besni,"{'Besni': -1.1954211611687122, 'Kecimen': -1.655196354882642}"
Besni,Besni,"{'Besni': -2.8752185084211144, 'Kecimen': -7.677492657884659}"
Besni,Besni,"{'Besni': -0.9327806750858594, 'Kecimen': -2.1111199440269384}"
Besni,Besni,"{'Besni': -6.692907745596965, 'Kecimen': -13.136023667320067}"
Besni,Besni,"{'Besni': -0.840969156800445, 'Kecimen': -3.5292495374191635}"
Besni,Kecimen,"{'Besni': -2.6950474493005676, 'Kecimen': -1.3129050453995814}"
Besni,Besni,"{'Besni': -1.8775298686196318, 'Kecimen': -6.038168485048134}"
Besni,Besni,"{'Besni': -1.4631078115031846, 'Kecimen': -1.5106497615647487}"
Besni,Besni,"{'Besni': -3.459785178313144, 'Kecimen': -8.257298403195001}"
Besni,Besni,"{'Besni': -1.9510881925503543, 'Kecimen': -5.813388959327822}"
Besni,Besni,"{'Besni': -2.801780979640377, 'Kecimen': -3.8830204014560965}"
Besni,Besni,"{'Besni': -9.304336743221459, 'Kecimen': -13.377235977818863}"
Besni,Besni,"{'Besni': -4.109314458937967, 'Kecimen': -8.30678422746741}"
Besni,Besni,"{'Besni': -2.1608922310632646, 'Kecimen': -4.0787602060914745}"
Besni,Besni,"{'Besni': -1.9287419871192464, 'Kecimen': -5.005158528366815}"
Besni,Besni,"{'Besni': -8.04338936777492, 'Kecimen': -13.722702072451709}"
Besni,Kecimen,"{'Besni': -1.6742262351077004, 'Kecimen': -1.622842010346655}"
Besni,Besni,"{'Besni': -9.815843815461008, 'Kecimen': -13.185782539827985}"
Besni,Besni,"{'Besni': -1.7642829092954466, 'Kecimen': -1.9538262882038657}"
Besni,Besni,"{'Besni': -2.5824160491005808, 'Kecimen': -7.663061789069804}"
Besni,Besni,"{'Besni': -5.127544024069115, 'Kecimen': -8.75690824620593}"
Besni,Besni,"{'Besni': -15.366504899803996, 'Kecimen': -21.632856574386604}"
Besni,Besni,"{'Besni': -9.318488961258799, 'Kecimen': -14.162103733648356}"
Besni,Besni,"{'Besni': -1.1945346871415539, 'Kecimen': -5.190578208825183}"
Besni,Besni,"{'Besni': -2.4186939339157765, 'Kecimen': -4.502370712898129}"
Besni,Besni,"{'Besni': -4.2114867825819475, 'Kecimen': -7.1110629318432}"
Besni,Besni,"{'Besni': -1.893827582241574, 'Kecimen': -2.4287576427167097}"
Besni,Besni,"{'Besni': -5.951475651701971, 'Kecimen': -7.157891012412698}"
Besni,Besni,"{'Besni': -2.546165301864993, 'Kecimen': -5.5618490392061055}"
Besni,Besni,"{'Besni': -5.058560019123512, 'Kecimen': -10.260599989937873}"
Besni,Besni,"{'Besni': -1.3655404995867522, 'Kecimen': -3.2656805350505818}"
Besni,Besni,"{'Besni': -1.8068856378873481, 'Kecimen': -2.993334312466505}"
Besni,Besni,"{'Besni': -2.8769452299829243, 'Kecimen': -3.1351821843823773}"
Besni,Besni,"{'Besni': -14.054579669050984, 'Kecimen': -17.211835577641267}"
Besni,Besni,"{'Besni': -0.6734276978117335, 'Kecimen': -1.5720484287613692}"
Besni,Besni,"{'Besni': -1.2738702691921029, 'Kecimen': -2.1335894004757465}"
Besni,Besni,"{'Besni': -0.8254389630468953, 'Kecimen': -3.993151475517923}"
Besni,Besni,"{'Besni': -1.716192261905411, 'Kecimen': -2.465599402822205}"
Besni,Besni,"{'Besni': -2.5901541066608615, 'Kecimen': -3.6197082180938125}"
Besni,Kecimen,"{'Besni': -4.127105905020418, 'Kecimen': -3.084885797355402}"
Besni,Besni,"{'Besni': -2.611006935789292, 'Kecimen': -5.305818303255441}"
Besni,Besni,"{'Besni': -5.201267813869745, 'Kecimen': -8.671172201124987}"
Besni,Besni,"{'Besni': -1.2370769097449805, 'Kecimen': -4.315832496073398}"
Besni,Besni,"{'Besni': -3.084842118733156, 'Kecimen': -5.307823173594757}"
Besni,Besni,"{'Besni': -1.6606004805559134, 'Kecimen': -4.494827217163234}"
Besni,Besni,"{'Besni': -1.5487239013711132, 'Kecimen': -4.8684873420652846}"
Besni,Besni,"{'Besni': -0.7455657372243293, 'Kecimen': -4.098771386673567}"
Besni,Besni,"{'Besni': -1.689744744423784, 'Kecimen': -5.031313499865594}"
Besni,Besni,"{'Besni': -2.28030182882057, 'Kecimen': -5.761801670919818}"
Besni,Besni,"{'Besni': -2.5963168920984425, 'Kecimen': -5.591463929134131}"
Besni,Besni,"{'Besni': -1.0067943351769908, 'Kecimen': -3.2132827515737974}"
Besni,Besni,"{'Besni': -2.2681186684444548, 'Kecimen': -3.922341443668838}"
Besni,Kecimen,"{'Besni': -2.1708750638291994, 'Kecimen': -2.0670844528526104}"
Besni,Besni,"{'Besni': -1.0294686044105559, 'Kecimen': -1.7830056973052821}"
Besni,Besni,"{'Besni': -8.809385105742741, 'Kecimen': -14.004352140940636}"
Besni,Besni,"{'Besni': -15.89775873656199, 'Kecimen': -23.458569383068756}"
Besni,Besni,"{'Besni': -2.7446863961742416, 'Kecimen': -6.903829622800105}"
Besni,Besni,"{'Besni': -1.4247208128469464, 'Kecimen': -4.771460146696523}"
Besni,Besni,"{'Besni': -0.8665918499433718, 'Kecimen': -4.0002580373685355}"
Besni,Besni,"{'Besni': -1.0244982620239385, 'Kecimen': -4.117605585199327}"
Besni,Besni,"{'Besni': -8.2969031523585, 'Kecimen': -13.306638053398771}"
Besni,Besni,"{'Besni': -14.05838618215521, 'Kecimen': -21.267479671078874}"
Besni,Besni,"{'Besni': -11.67000829771368, 'Kecimen': -15.347512683382424}"
Besni,Besni,"{'Besni': -1.5420294800109895, 'Kecimen': -5.666692952413692}"
Besni,Besni,"{'Besni': -0.87935034928279, 'Kecimen': -3.078115739898843}"
Besni,Besni,"{'Besni': -0.5340791559716337, 'Kecimen': -2.8777322098474594}"
Besni,Kecimen,"{'Besni': -2.5441727768533076, 'Kecimen': -1.3572494522357261}"
Besni,Besni,"{'Besni': -3.8168173133739547, 'Kecimen': -9.265321704878332}"
Besni,Besni,"{'Besni': -1.8141545272781554, 'Kecimen': -3.0585873024747716}"
Besni,Besni,"{'Besni': -1.9882523470461713, 'Kecimen': -5.2466708781327345}"
Besni,Besni,"{'Besni': -2.225486322609664, 'Kecimen': -5.4359307251487525}"
Besni,Besni,"{'Besni': -5.996342791176112, 'Kecimen': -10.215611174796173}"
Besni,Besni,"{'Besni': -0.8355044827248196, 'Kecimen': -2.553211820357508}"
Besni,Besni,"{'Besni': -1.3597358967277058, 'Kecimen': -4.822334864269735}"
Besni,Besni,"{'Besni': -0.6756063935241635, 'Kecimen': -3.304187219886034}"
